==================================================
Using device: cuda

==================================================
==================================================
GPU: NVIDIA A100-SXM4-40GB

==================================================
==================================================
Model has 4483 paramters

==================================================
Training samples: 102
Test samples:     26
Epoch 162/10000 | Train Loss: 5611.442  | Test Loss: 7.844 | LR: 1.00e-03 | Time: 0.5s
Epoch 163/10000 | Train Loss: 5582.879  | Test Loss: 7.777 | LR: 1.00e-03 | Time: 0.5s
Epoch 164/10000 | Train Loss: 5536.661  | Test Loss: 7.776 | LR: 1.00e-03 | Time: 0.5s
Epoch 165/10000 | Train Loss: 5583.553  | Test Loss: 7.928 | LR: 1.00e-03 | Time: 0.5s
Epoch 166/10000 | Train Loss: 5668.227  | Test Loss: 7.817 | LR: 1.00e-03 | Time: 0.5s
Epoch 167/10000 | Train Loss: 5562.972  | Test Loss: 7.929 | LR: 1.00e-03 | Time: 0.5s
Epoch 168/10000 | Train Loss: 5678.076  | Test Loss: 8.000 | LR: 1.00e-03 | Time: 0.5s
Epoch 169/10000 | Train Loss: 5677.326  | Test Loss: 7.886 | LR: 1.00e-03 | Time: 0.5s
Epoch 170/10000 | Train Loss: 5572.336  | Test Loss: 7.838 | LR: 1.00e-03 | Time: 0.5s
Epoch 171/10000 | Train Loss: 5953.294  | Test Loss: 8.500 | LR: 1.00e-03 | Time: 0.5s
Epoch 172/10000 | Train Loss: 6029.696  | Test Loss: 7.718 | LR: 1.00e-03 | Time: 0.5s
Epoch 173/10000 | Train Loss: 5648.548  | Test Loss: 7.694 | LR: 1.00e-03 | Time: 0.5s
Epoch 174/10000 | Train Loss: 5608.072  | Test Loss: 7.771 | LR: 1.00e-03 | Time: 0.5s
Epoch 175/10000 | Train Loss: 5505.080  | Test Loss: 7.686 | LR: 1.00e-03 | Time: 0.5s
Epoch 176/10000 | Train Loss: 5581.838  | Test Loss: 7.673 | LR: 1.00e-03 | Time: 0.5s
Epoch 177/10000 | Train Loss: 5550.066  | Test Loss: 8.002 | LR: 1.00e-03 | Time: 0.5s
Epoch 178/10000 | Train Loss: 5541.183  | Test Loss: 7.658 | LR: 1.00e-03 | Time: 0.5s
Epoch 179/10000 | Train Loss: 5567.007  | Test Loss: 7.729 | LR: 1.00e-03 | Time: 0.5s
Epoch 180/10000 | Train Loss: 5435.602  | Test Loss: 8.116 | LR: 1.00e-03 | Time: 0.5s
Epoch 181/10000 | Train Loss: 5712.351  | Test Loss: 7.771 | LR: 1.00e-03 | Time: 0.5s
Epoch 182/10000 | Train Loss: 5495.342  | Test Loss: 7.710 | LR: 1.00e-03 | Time: 0.5s
Epoch 183/10000 | Train Loss: 5582.906  | Test Loss: 7.636 | LR: 1.00e-03 | Time: 0.5s
Epoch 184/10000 | Train Loss: 5537.160  | Test Loss: 7.809 | LR: 1.00e-03 | Time: 0.5s
Epoch 185/10000 | Train Loss: 5532.475  | Test Loss: 7.654 | LR: 1.00e-03 | Time: 0.5s
Epoch 186/10000 | Train Loss: 5545.232  | Test Loss: 7.675 | LR: 1.00e-03 | Time: 0.5s
Epoch 187/10000 | Train Loss: 5576.650  | Test Loss: 7.766 | LR: 1.00e-03 | Time: 0.5s
Epoch 188/10000 | Train Loss: 5737.674  | Test Loss: 8.137 | LR: 1.00e-03 | Time: 0.5s
Epoch 189/10000 | Train Loss: 5485.011  | Test Loss: 7.699 | LR: 1.00e-03 | Time: 0.5s
Epoch 190/10000 | Train Loss: 5581.127  | Test Loss: 7.682 | LR: 1.00e-03 | Time: 0.5s
Epoch 191/10000 | Train Loss: 5478.116  | Test Loss: 7.686 | LR: 1.00e-03 | Time: 0.5s
Epoch 192/10000 | Train Loss: 5549.060  | Test Loss: 7.667 | LR: 1.00e-03 | Time: 0.5s
Epoch 193/10000 | Train Loss: 5625.442  | Test Loss: 7.628 | LR: 1.00e-03 | Time: 0.5s
Epoch 194/10000 | Train Loss: 5573.161  | Test Loss: 7.587 | LR: 1.00e-03 | Time: 0.5s
Epoch 195/10000 | Train Loss: 5588.285  | Test Loss: 7.609 | LR: 1.00e-03 | Time: 0.5s
Epoch 196/10000 | Train Loss: 5579.305  | Test Loss: 7.667 | LR: 1.00e-03 | Time: 0.5s
